Level,Date and Time,Source,Event ID,Original Message
Information,07-10-2024 11:46,nhi,9008,"Driver exit RTD3 
 All the connected devices will now cause DeviceConnected events "
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 60 to 61 

Reason PolicyChange 

BootId  98"
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,187,User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs 
Information,07-10-2024 11:46,Win32k,267,Touch Touchpad Hardware Quality Assurance verification succeeded 
Information,07-10-2024 11:46,User32,1074,"The process Explorer EXE has initiated the power off of computer KRAZYPC on behalf of user KRAZYPC Karthik Sundaram for the following reason  Other (Unplanned)
 Reason Code  0x0
 Shutdown Type  power off
 Comment  "
Information,07-10-2024 11:37,Microsoft-Windows-Kernel-Power,507,"The system is exiting Modern Standby 

Reason  Lid "
Information,07-10-2024 11:37,Microsoft-Windows-Kernel-Power,172,"Connectivity state in standby  Connected, Reason  None"
Warning,07-10-2024 11:37,Win32k,701,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-Power,172,"Connectivity state in standby  Disconnected, Reason  Adaptive Connected Standby"
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages Microsoft LockApp_cw5n1h2txyewy Settings settings dat was cleared updating 3 keys and creating 1 modified pages 
Warning,07-10-2024 11:27,Microsoft-Windows-DNS-Client,1014,Name resolution for the name liveupdate01s asus com timed out after none of the configured DNS servers responded  Client PID 8908 
Information,07-10-2024 11:26,Service Control Manager,7045,"A service was installed in the system 

Service Name   Adobe Genuine Software Monitor Service
Service File Name    C  Program Files (x86) Common Files Adobe AdobeGCClient AGMService exe 
Service Type   user mode service
Service Start Type   auto start
Service Account   LocalSystem"
Warning,07-10-2024 11:23,Microsoft-Windows-DistributedCOM,10016,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user KRAZYPC Karthik Sundaram SID (S-1-5-21-4230852428-3624921412-923642634-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable)  This security permission can be modified using the Component Services administrative tool "
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,1,"The system time has changed to  2024 - 10 - 07T05 51 31 147126000Z from  2024 - 10 - 07T05 51 31 144837200Z 
Time Delta  2 ms

Change Reason  An application or system component changed the time 
Process    Device HarddiskVolume3 Windows System32 svchost exe  (PID 20740) 

RTC time   2024 - 10 - 07T11 21 31 147126000Z
Current time zone bias  -330
RTC time is in UTC  false
System time was based on RTC time  false"
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,24,The time zone information was refreshed with exit reason 0  Current time zone bias is -330 
Information,07-10-2024 11:21,Microsoft-Windows-Time-Service,35,"The time service is now synchronizing the system time with the time source time windows com,0x9 (ntp m 0x9 0 0 0 0 123- 40 81 94 65 123) with reference id 1096700200  Current local stratum number is 4 "
Information,07-10-2024 11:21,Microsoft-Windows-Time-Service,37,"The time provider NtpClient is currently receiving valid time data from time windows com,0x9 (ntp m 0x9 0 0 0 0 123- 40 81 94 65 123) "
Information,07-10-2024 11:20,Microsoft-Windows-Kernel-General,16,The access history in hive  Device HarddiskVolume1 EFI Microsoft Boot BCD was cleared updating 121 keys and creating 7 modified pages 
Information,07-10-2024 11:20,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 06T17 26 13 101830300Z
Wake Time   2024 - 10 - 07T05 50 29 163426700Z

Wake Source  Unknown"
Warning,07-10-2024 11:20,Microsoft-Windows-Time-Service,134,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on  time windows com,0x9   NtpClient will try again in 15 minutes and double the reattempt interval thereafter  The error was  No such host is known  (0x80072AF9)"
Information,07-10-2024 11:20,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 54 to 55 

Reason SxTransition 

BootId  98"
Information,06-10-2024 22:56,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 53 to 54 

Reason InputAccelerometer 

BootId  98"
Information,06-10-2024 22:55,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {00000000-0000-0000-0000-000000000000} to {961cc777-2547-4f9d-8174-7d86181b8a7a}
Information,06-10-2024 22:55,Microsoft-Windows-UserModePowerService,12,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset policy scheme from {64a64f24-65b9-4b56-befd-5ec1eaced9b3} to {64a64f24-65b9-4b56-befd-5ec1eaced9b3}
Information,06-10-2024 22:55,Microsoft-Windows-Kernel-Power,105,Power source change 
Information,06-10-2024 22:40,Service Control Manager,7040,The start type of the McAfee Scheduled Task - (McAfee-McOemSubjob-41) service was changed from demand start to disabled 
Information,06-10-2024 22:40,Service Control Manager,7045,"A service was installed in the system 

Service Name   McAfee Scheduled Task - (McAfee-McOemSubjob-41)
Service File Name        C  Program Files McAfee WPS SubscriptionJob mc-oem-subjob exe 
Service Type   user mode service
Service Start Type   demand start
Service Account   LocalSystem"
Information,06-10-2024 22:22,Service Control Manager,7040,The start type of the McAfee Scheduled Task - (McAfee Scheduled Task - (mc-sustainability)) service was changed from demand start to disabled 
Information,06-10-2024 22:22,Service Control Manager,7045,"A service was installed in the system 

Service Name   McAfee Scheduled Task - (McAfee Scheduled Task - (mc-sustainability))
Service File Name    C  Program Files McAfee wps 1 22 203 1 sustainability mc-sustainability exe 
Service Type   user mode service
Service Start Type   demand start
Service Account   LocalSystem"
Information,06-10-2024 22:17,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages Microsoft Windows Photos_8wekyb3d8bbwe Settings settings dat was cleared updating 20 keys and creating 7 modified pages 
Information,06-10-2024 22:17,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Packages Microsoft Windows Photos_8wekyb3d8bbwe S-1-5-21-4230852428-3624921412-923642634-1001 SystemAppData Helium Cache ed701ac8e66ce37b_COM15 dat was cleared updating 1 keys and creating 1 modified pages 
Information,06-10-2024 21:23,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages Microsoft ScreenSketch_8wekyb3d8bbwe SystemAppData Helium UserClasses dat was cleared updating 7 keys and creating 2 modified pages 
Information,06-10-2024 21:10,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages 5319275A WhatsAppDesktop_cv1g1gvanyjgm Settings settings dat was cleared updating 2 keys and creating 1 modified pages 
Information,06-10-2024 21:01,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {961cc777-2547-4f9d-8174-7d86181b8a7a} to {00000000-0000-0000-0000-000000000000}
Information,06-10-2024 20:56,Microsoft-Windows-Kernel-Power,507,"The system is exiting Modern Standby 

Reason  Input Keyboard "
Information,06-10-2024 20:55,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 51 to 52 

Reason SessionUnlock 

BootId  98"
Information,06-10-2024 20:44,Microsoft-Windows-Kernel-Power,506,"The system is entering Modern Standby 

Reason  Idle Timeout "
Information,06-10-2024 20:13,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 06T13 27 49 445574500Z
Wake Time   2024 - 10 - 06T14 43 03 319278800Z

Wake Source  Unknown"
Information,06-10-2024 20:13,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {961cc777-2547-4f9d-8174-7d86181b8a7a} to {961cc777-2547-4f9d-8174-7d86181b8a7a}
Information,06-10-2024 18:57,Microsoft-Windows-Kernel-Power,42,"The system is entering sleep 

Sleep Reason  Hibernate from Sleep - Standby Battery Budget Exceeded"
Information,06-10-2024 18:57,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages B9ECED6F ArmouryCrate_qmba6cd70vzyy Settings settings dat was cleared updating 32 keys and creating 5 modified pages 
Information,06-10-2024 18:09,Microsoft-Windows-UserModePowerService,51,Process C  Windows ImmersiveControlPanel SystemSettings exe (process ID 35380) reset overlay policy scheme from {00000000-0000-0000-0000-000000000000} to {961cc777-2547-4f9d-8174-7d86181b8a7a}
Information,06-10-2024 18:09,Microsoft-Windows-UserModePowerService,51,Process C  Windows ImmersiveControlPanel SystemSettings exe (process ID 35380) reset overlay policy scheme from {961cc777-2547-4f9d-8174-7d86181b8a7a} to {00000000-0000-0000-0000-000000000000}
Warning,06-10-2024 17:58,BTHUSB,3,A command sent to the adapter has timed out  The adapter did not respond 
Information,06-10-2024 17:49,Microsoft-Windows-Time-Service,158,The time provider  VMICTimeProvider  has indicated that the current hardware and operating environment is not supported and has stopped  This behavior is expected for VMICTimeProvider on non-HyperV-guest environments  This may be the expected behavior for the current provider in the current operating environment as well 
Warning,06-10-2024 17:37,Microsoft-Windows-DNS-Client,1014,Name resolution for the name retracker local timed out after none of the configured DNS servers responded  Client PID 42568 
Error,06-10-2024 17:35,Service Control Manager,7000,"The Steam Client Service service failed to start due to the following error  
The service did not respond to the start or control request in a timely fashion "
Error,06-10-2024 17:35,Service Control Manager,7009,A timeout was reached (30000 milliseconds) while waiting for the Steam Client Service service to connect 
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,15,Hive     Volume{623c5068-6a31-4bb4-a74c-e41052e73808} System Volume Information SPP SppCbsHiveStore {cd42efe1-f6f1-427c-b004-033192c625a4}{F8A967AD-D99D-442C-B844-25446D2C7BE3} was reorganized with a starting size of 112340992 bytes and an ending size of 104816640 bytes 
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,16,The access history in hive     Volume{623c5068-6a31-4bb4-a74c-e41052e73808} System Volume Information SPP SppCbsHiveStore {cd42efe1-f6f1-427c-b004-033192c625a4}{D7F2E8ED-D674-4B01-AF17-A8E9320EF2EE} was cleared updating 761 keys and creating 107 modified pages 
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,15,Hive     Volume{623c5068-6a31-4bb4-a74c-e41052e73808} System Volume Information SPP SppCbsHiveStore {cd42efe1-f6f1-427c-b004-033192c625a4}{4D1E6E75-9C33-4490-95B0-39F8C63B89A0} was reorganized with a starting size of 47353856 bytes and an ending size of 45154304 bytes 
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,15,Hive     Volume{623c5068-6a31-4bb4-a74c-e41052e73808} System Volume Information SPP SppCbsHiveStore {cd42efe1-f6f1-427c-b004-033192c625a4}{50B6FA4B-3249-414C-BBAF-CB10D325754B} was reorganized with a starting size of 22327296 bytes and an ending size of 21774336 bytes 
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,11,"TxR init phase for hive     GLOBALROOT Device HarddiskVolumeShadowCopy1 Windows System32 config DRIVERS (TM  {829aa1f4-82fd-11ef-950d-d4f32d1ddbc4}, RM  {829aa1f3-82fd-11ef-950d-d4f32d1ddbc4}) finished with result=0xC00000A2 (Internal code=7) "
Information,06-10-2024 16:42,Microsoft-Windows-Kernel-General,15,Hive     GLOBALROOT Device HarddiskVolumeShadowCopy1 Windows System32 config DRIVERS was reorganized with a starting size of 8577024 bytes and an ending size of 8241152 bytes 
Information,06-10-2024 16:42,Service Control Manager,7040,The start type of the Windows Modules Installer service was changed from auto start to demand start 
Error,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,20,Installation Failure  Windows failed to install the following update with error 0x80073D02  9NKSQGP7F2NH-5319275A WhatsAppDesktop 
Information,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9NKSQGP7F2NH-5319275A WhatsAppDesktop
Information,06-10-2024 16:41,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Microsoft Windows AppRepository Packages 5319275A WhatsAppDesktop_2 2439 7 0_x64__cv1g1gvanyjgm ActivationStore dat was cleared updating 0 keys and creating 0 modified pages 
Information,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9NHT9RB2F4HD-Microsoft Copilot
Information,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9WZDNCRFHWD2-Microsoft MicrosoftSolitaireCollection
Information,06-10-2024 16:41,Microsoft-Windows-WindowsUpdateClient,44,Windows Update started downloading an update 
Information,06-10-2024 16:19,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {ded574b5-45a0-4f42-8737-46345c09c238} to {00000000-0000-0000-0000-000000000000}
Information,06-10-2024 16:19,Microsoft-Windows-UserModePowerService,12,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset policy scheme from {27fa6203-3987-4dcc-918d-748559d549ec} to {64a64f24-65b9-4b56-befd-5ec1eaced9b3}
Information,06-10-2024 16:19,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {ded574b5-45a0-4f42-8737-46345c09c238} to {ded574b5-45a0-4f42-8737-46345c09c238}
Information,06-10-2024 16:19,Microsoft-Windows-UserModePowerService,12,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset policy scheme from {6fecc5ae-f350-48a5-b669-b472cb895ccf} to {27fa6203-3987-4dcc-918d-748559d549ec}
Information,06-10-2024 14:28,Microsoft-Windows-UserModePowerService,12,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset policy scheme from {27fa6203-3987-4dcc-918d-748559d549ec} to {6fecc5ae-f350-48a5-b669-b472cb895ccf}
Information,06-10-2024 14:28,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset overlay policy scheme from {00000000-0000-0000-0000-000000000000} to {ded574b5-45a0-4f42-8737-46345c09c238}
Information,06-10-2024 14:28,Microsoft-Windows-UserModePowerService,12,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 4168) reset policy scheme from {64a64f24-65b9-4b56-befd-5ec1eaced9b3} to {27fa6203-3987-4dcc-918d-748559d549ec}
Information,06-10-2024 14:27,BTHUSB,18,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter  Bluetooth keyboards might not work in the system BIOS during startup 
Information,06-10-2024 13:27,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Packages 40459File-New-Project EarTrumpet_1sdd7yawvg6ne S-1-5-21-4230852428-3624921412-923642634-1001 SystemAppData Helium Cache 15a8dbc49e94d36a_COM15 dat was cleared updating 1 keys and creating 1 modified pages 
Information,06-10-2024 13:26,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 05T21 51 44 440264600Z
Wake Time   2024 - 10 - 06T07 56 00 156847900Z

Wake Source  Unknown"
Information,06-10-2024 13:25,EventLog,6013,The system uptime is 219904 seconds 
Information,06-10-2024 02:18,Microsoft-Windows-Kernel-General,15,Hive     C  Windows System32 config COMPONENTS was reorganized with a starting size of 47353856 bytes and an ending size of 45154304 bytes 
Information,06-10-2024 00:33,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Packages NotepadPlusPlus_7njy0v32s6xk6 S-1-5-21-4230852428-3624921412-923642634-1001 SystemAppData Helium Cache f3851eb54fd8cf6f_COM15 dat was cleared updating 1 keys and creating 1 modified pages 
Information,06-10-2024 00:33,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages NotepadPlusPlus_7njy0v32s6xk6 SystemAppData Helium UserClasses dat was cleared updating 1 keys and creating 1 modified pages 
Information,06-10-2024 00:27,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 05T18 35 46 441539300Z
Wake Time   2024 - 10 - 05T18 57 05 120246500Z

Wake Source  Unknown"
Error,06-10-2024 00:05,Microsoft-Windows-DistributedCOM,10010,The server DolbyLaboratories DolbyAccess_3 24 2820 0_x64__rz1tebttyb220!App AppX1vq60yhpapky3fc2vj8qa51f0d03x54j mca did not register with DCOM within the required timeout 
Information,05-10-2024 22:50,Microsoft-Windows-Kernel-General,15,Hive  SystemRoot System32 config DRIVERS was reorganized with a starting size of 8577024 bytes and an ending size of 8241152 bytes 
Information,05-10-2024 22:35,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages MicrosoftWindows CrossDevice_cw5n1h2txyewy SystemAppData Helium User dat was cleared updating 1 keys and creating 1 modified pages 
Information,05-10-2024 22:34,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages AppleInc iCloud_nzyj5cx40ttqa Settings settings dat was cleared updating 2 keys and creating 1 modified pages 
Information,05-10-2024 22:34,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Packages AppleInc iCloud_nzyj5cx40ttqa S-1-5-21-4230852428-3624921412-923642634-1001 SystemAppData Helium Cache 193c4ed8a4fff5d_COM15 dat was cleared updating 1 keys and creating 1 modified pages 
Information,05-10-2024 22:34,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages 40459File-New-Project EarTrumpet_1sdd7yawvg6ne Settings settings dat was cleared updating 2 keys and creating 1 modified pages 
Information,05-10-2024 22:34,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9WZDNCRD29V9-MICROSOFT MICROSOFTOFFICEHUB
Information,05-10-2024 22:34,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Microsoft Windows AppRepository Packages Microsoft MicrosoftOfficeHub_18 2409 1301 0_x64__8wekyb3d8bbwe ActivationStore dat was cleared updating 0 keys and creating 0 modified pages 
Information,05-10-2024 22:34,Microsoft-Windows-Kernel-General,16,The access history in hive     C  Users Karthik Sundaram AppData Local Packages DolbyLaboratories DolbyAccess_rz1tebttyb220 Settings settings dat was cleared updating 2 keys and creating 1 modified pages 
Error,05-10-2024 17:39,Service Control Manager,7031,The GameInput Service service terminated unexpectedly   It has done this 1 time(s)   The following corrective action will be taken in 1000 milliseconds  Restart the service 
Information,05-10-2024 17:37,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Microsoft Windows AppRepository Packages AppleInc AppleMusicWin_1 1280 38913 0_x64__nzyj5cx40ttqa ActivationStore dat was cleared updating 0 keys and creating 0 modified pages 
Warning,05-10-2024 15:38,Display,4125,Good news 1 has been enhanced for a brighter and more detailed picture  You can turn off Auto HDR any time in Settings 
Information,05-10-2024 14:51,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9P5Z076K079H-MicrosoftCorporationII WinAppRuntime Singleton
Information,05-10-2024 14:51,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9P2VP41KK7LF-Microsoft WindowsAppRuntime 1 6
Information,05-10-2024 14:50,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9N7R5S6B0ZZH-B9ECED6F ASUSPCAssistant
Information,05-10-2024 14:50,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9WZDNCRFHWKN-MICROSOFT WINDOWSSOUNDRECORDER
Error,05-10-2024 14:50,Microsoft-Windows-WindowsUpdateClient,20,Installation Failure  Windows failed to install the following update with error 0x80073D02  9PLH2SV1DVK5-B9ECED6F Glidex 
Information,05-10-2024 14:50,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9PLH2SV1DVK5-B9ECED6F Glidex
Information,05-10-2024 14:30,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9MWZ3VLW5HBW-B9ECED6F AURACreator
Information,05-10-2024 14:30,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9WZDNCRD1HKW-Microsoft XboxIdentityProvider
Information,05-10-2024 14:30,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 05T08 09 54 777776700Z
Wake Time   2024 - 10 - 05T09 00 02 173287700Z

Wake Source  Unknown"
Information,05-10-2024 12:00,EventLog,6013,The system uptime is 128347 seconds 
Information,05-10-2024 10:48,Microsoft-Windows-WindowsUpdateClient,43,Installation Started  Windows has started installing the following update  9WZDNCRDTBJJ-MICROSOFT GETSTARTED
Information,05-10-2024 10:48,Microsoft-Windows-Ntfs,98,Volume OS ( Device HarddiskVolumeShadowCopy1) is healthy   No action is needed 
Error,04-10-2024 23:35,Service Control Manager,7009,A timeout was reached (30000 milliseconds) while waiting for the Sync Host_36c9d14 service to connect 
Error,04-10-2024 23:35,Microsoft-Windows-DistributedCOM,10010,The server {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} did not register with DCOM within the required timeout 
Information,04-10-2024 23:32,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 04T16 14 07 297033400Z
Wake Time   2024 - 10 - 04T18 02 04 124486000Z

Wake Source  Unknown"
Information,04-10-2024 20:19,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Packages MicrosoftWindows CrossDevice_cw5n1h2txyewy S-1-5-21-4230852428-3624921412-923642634-1001 SystemAppData Helium Cache 8befeb2c69c06b6b_COM15 dat was cleared updating 1 keys and creating 1 modified pages 
Information,04-10-2024 20:15,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 04T05 20 01 334234900Z
Wake Time   2024 - 10 - 04T14 45 33 151058100Z

Wake Source  Unknown"
Information,04-10-2024 09:39,Microsoft-Windows-UserModePowerService,51,Process C  Program Files ASUS ARMOURY CRATE Service ArmouryCrate UserSessionHelper exe (process ID 20580) reset overlay policy scheme from {00000000-0000-0000-0000-000000000000} to {00000000-0000-0000-0000-000000000000}
Information,04-10-2024 09:33,Microsoft-Windows-Power-Troubleshooter,1,"The system has returned from a low power state 

Sleep Time   2024 - 10 - 03T19 11 17 739265800Z
Wake Time   2024 - 10 - 04T04 03 51 225037100Z

Wake Source  Unknown"
Information,04-10-2024 00:41,Microsoft-Windows-Kernel-General,16,The access history in hive     C  ProgramData Microsoft Provisioning Microsoft-Desktop-Provisioning-Sequence dat was cleared updating 0 keys and creating 0 modified pages 
Information,04-10-2024 00:41,Microsoft-Windows-Kernel-Power,566,"The system session has transitioned from 0 to 1 

Reason ScreenOffGracePeriod 

BootId  98"
Information,04-10-2024 00:41,User32,1074,"The process C  Windows system32 winlogon exe (KRAZYPC) has initiated the power off of computer KRAZYPC on behalf of user NT AUTHORITY SYSTEM for the following reason  No title for this reason could be found
 Reason Code  0x500ff
 Shutdown Type  power off
 Comment  "
